#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Bifidobacterium angulatum DSM 20098 = JCM 7096","Bacteria;Terrabacteria group;Actinobacteria","JCM 7096","SAMD00061039","PRJDB55","GCA_001025155.1","Complete",2.02197,59.4,"chromosome:NZ_AP012322.1/AP012322.1",,1,1520,"2015-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/155/GCA_001025155.1_ASM102515v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/155/GCF_001025155.1_ASM102515v1"
"Bifidobacterium breve DSM 20213 = JCM 1192","Bacteria;Terrabacteria group;Actinobacteria","JCM 1192","SAMD00061041","PRJDB57","GCA_001025175.1","Complete",2.26941,58.9,"chromosome:NZ_AP012324.1/AP012324.1",,1,1904,"2015-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/175/GCA_001025175.1_ASM102517v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/175/GCF_001025175.1_ASM102517v1"
"Bacillus vireti","Bacteria;Terrabacteria group;Firmicutes","DSM 15602","SAMN03699822","PRJNA284208","GCA_001026695.1","Scaffold",5.30909,39.8,,"LDNB01",27,4973,"2015-06-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/026/695/GCA_001026695.1_ASM102669v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/695/GCF_001026695.1_ASM102669v1"
"Pragia fontium","Bacteria;Proteobacteria;Gammaproteobacteria","24613","SAMN03216551","PRJNA268155","GCA_001026985.1","Complete",4.09463,45.4,"chromosome:NZ_CP010423.1/CP010423.1",,1,3468,"2015-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/026/985/GCA_001026985.1_ASM102698v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/985/GCF_001026985.1_ASM102698v1"
"Kosmotoga pacifica","Bacteria;Thermotogae;Thermotogae","SLHLJ1","SAMN02940556","PRJNA256122","GCA_001027025.1","Complete",2.16917,42.5,"chromosome:NZ_CP011232.1/CP011232.1",,1,2017,"2015-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/025/GCA_001027025.1_ASM102702v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/025/GCF_001027025.1_ASM102702v1"
"Archangium gephyra","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2261","SAMN03704078","PRJNA283574","GCA_001027285.1","Complete",12.4894,69.4,"chromosome:NZ_CP011509.1/CP011509.1",,1,9561,"2015-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/285/GCA_001027285.1_ASM102728v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1"
"Endomicrobium proavitum","Bacteria;Elusimicrobia;Endomicrobia","Rsa215","SAMN03771261","PRJNA222699","GCA_001027545.1","Complete",1.58898,39.3,"chromosome:NZ_CP009498.1/CP009498.1",,1,1337,"2015-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/545/GCA_001027545.1_ASM102754v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/545/GCF_001027545.1_ASM102754v1"
"Altererythrobacter marensis","Bacteria;Proteobacteria;Alphaproteobacteria","KCTC 22370","SAMN03764476","PRJNA286057","GCA_001028625.1","Complete",2.88503,64.7,"chromosome:NZ_CP011805.1/CP011805.1",,1,2665,"2015-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/028/625/GCA_001028625.1_ASM102862v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/625/GCF_001028625.1_ASM102862v1"
"Staphylococcus capitis subsp. capitis","Bacteria;Terrabacteria group;Firmicutes","AYP1020","SAMN02739579","PRJNA232502","GCA_001028645.1","Complete",2.50326,32.9357,"chromosome:NZ_CP007601.1/CP007601.1; plasmid pAYP1020:NZ_CP007602.1/CP007602.1",,2,2272,"2015-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/028/645/GCA_001028645.1_ASM102864v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/645/GCF_001028645.1_ASM102864v1"
"Croceicoccus naphthovorans","Bacteria;Proteobacteria;Alphaproteobacteria","PQ-2","SAMN03757733","PRJNA285726","GCA_001028705.1","Complete",3.86356,62.604,"chromosome:NZ_CP011770.1/CP011770.1; plasmid p1:NZ_CP011771.1/CP011771.1; plasmid p2:NZ_CP011772.1/CP011772.1",,3,3611,"2015-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/028/705/GCA_001028705.1_ASM102870v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/705/GCF_001028705.1_ASM102870v1"
"Spiroplasma eriocheiris","Bacteria;Terrabacteria group;Tenericutes","DSM 21848","SAMN03488050","PRJNA253647","GCA_001029265.1","Complete",1.36571,29.8,"chromosome:NZ_CP011856.1/CP011856.1",,1,1194,"2015-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/265/GCA_001029265.1_ASM102926v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/265/GCF_001029265.1_ASM102926v1"
"Rubrobacter aplysinae","Bacteria;Terrabacteria group;Actinobacteria","RV113","SAMN03729479","PRJNA284660","GCA_001029505.1","Scaffold",3.18746,65.1,,"LEKH01",33,3013,"2015-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/505/GCA_001029505.1_ASM102950v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/505/GCF_001029505.1_ASM102950v1"
"Legionella drancourtii LLAP12","Bacteria;Proteobacteria;Gammaproteobacteria","LLAP12","SAMN02471332","PRJNA39279","GCA_000162755.2","Scaffold",4.15261,39.4,,"ACUL02",58,3375,"2009-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/755/GCA_000162755.2_ASM16275v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/755/GCF_000162755.2_ASM16275v2"
"Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu","Bacteria;FCB group;Bacteroidetes/Chlorobi group","Cpu","SAMN02604251","PRJNA71047","GCA_000236405.1","Complete",0.609561,23.8419,"chromosome:NC_016621.1/CP003015.1; plasmid pCpu:NC_016598.1/CP003016.1",,2,541,"2011-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/405/GCA_000236405.1_ASM23640v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/405/GCF_000236405.1_ASM23640v1"
"Hungateiclostridium clariflavum DSM 19732","Bacteria;Terrabacteria group;Firmicutes","DSM 19732","SAMN02261428","PRJNA72805","GCA_000237085.1","Complete",4.89768,35.7,"chromosome:NC_016627.1/CP003065.1",,1,3906,"2011-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/085/GCA_000237085.1_ASM23708v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/085/GCF_000237085.1_ASM23708v1"
"Desulfovibrio africanus str. Walvis Bay","Bacteria;Proteobacteria;delta/epsilon subdivisions","Walvis Bay","SAMN00713616","PRJNA52831","GCA_000212675.2","Complete",4.20053,61.4,"chromosome:NC_016629.1/CP003221.1",,1,3767,"2012-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/675/GCA_000212675.2_ASM21267v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/675/GCF_000212675.2_ASM21267v2"
"Sphaerochaeta pleomorpha str. Grapes","Bacteria;Spirochaetes;Spirochaetia","Grapes","SAMN02261363","PRJNA50049","GCA_000236685.1","Complete",3.59085,46.2,"chromosome:NC_016633.1/CP003155.1",,1,3192,"2011-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/685/GCA_000236685.1_ASM23668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/685/GCF_000236685.1_ASM23668v1"
"Filifactor alocis ATCC 35896","Bacteria;Terrabacteria group;Firmicutes","ATCC 35896","SAMN02463683","PRJNA30485","GCA_000163895.2","Complete",1.93101,35.4,"chromosome:NC_016630.1/CP002390.1",,1,1662,"2011-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/895/GCA_000163895.2_ASM16389v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/895/GCF_000163895.2_ASM16389v2"
"Granulicella mallensis MP5ACTX8","Bacteria;Acidobacteria;Acidobacteriia","MP5ACTX8","SAMN02232025","PRJNA47903","GCA_000178955.2","Complete",6.23758,57.9,"chromosome:NC_016631.1/CP003130.1",,1,4779,"2011-12-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/955/GCA_000178955.2_ASM17895v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/955/GCF_000178955.2_ASM17895v2"
"Streptomyces bingchenggensis BCW-1","Bacteria;Terrabacteria group;Actinobacteria","BCW-1","SAMN02603683","PRJNA46847","GCA_000092385.1","Complete",11.9367,70.8,"chromosome:NC_016582.1/CP002047.1",,1,9262,"2010-05-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/385/GCA_000092385.1_ASM9238v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/385/GCF_000092385.1_ASM9238v1"
"Desulfosporosinus orientis DSM 765","Bacteria;Terrabacteria group;Firmicutes","DSM 765","SAMN02261424","PRJNA66191","GCA_000235605.1","Complete",5.86308,42.9,"chromosome:NC_016584.1/CP003108.1",,1,5229,"2011-11-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/605/GCA_000235605.1_ASM23560v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/605/GCF_000235605.1_ASM23560v1"
"Owenweeksia hongkongensis DSM 17368","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 17368","SAMN02261417","PRJNA65297","GCA_000236705.1","Complete",4.00006,40.2,"chromosome:NC_016599.1/CP003156.1",,1,3462,"2011-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/705/GCA_000236705.1_ASM23670v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/705/GCF_000236705.1_ASM23670v1"
"Acinetobacter pittii PHEA-2","Bacteria;Proteobacteria;Gammaproteobacteria","PHEA-2","SAMN02603040","PRJNA51267","GCA_000191145.1","Complete",3.86253,38.8,"chromosome:NC_016603.1/CP002177.1",,1,3599,"2011-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/145/GCA_000191145.1_ASM19114v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1"
"Niastella koreensis GR20-10","Bacteria;FCB group;Bacteroidetes/Chlorobi group","GR20-10","SAMN02232043","PRJNA42711","GCA_000246855.1","Complete",9.03368,44.9,"chromosome:NC_016609.1/CP003178.1",,1,7170,"2011-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/855/GCA_000246855.1_ASM24685v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/855/GCF_000246855.1_ASM24685v1"
"Mycolicibacterium rhodesiae NBB3","Bacteria;Terrabacteria group;Actinobacteria","NBB3","SAMN02261383","PRJNA60027","GCA_000230895.3","Complete",6.41574,65.5,"chromosome:NC_016604.1/CP003169.1",,1,6078,"2011-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/895/GCA_000230895.3_ASM23089v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/895/GCF_000230895.2_ASM23089v3"
"Pseudoxanthomonas spadix BD-a59","Bacteria;Proteobacteria;Gammaproteobacteria","BD-a59","SAMN02603133","PRJNA67981","GCA_000233915.4","Complete",3.45255,67.7,"chromosome:NC_016147.2/CP003093.2",,1,3029,"2011-11-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/915/GCA_000233915.4_ASM23391v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/915/GCF_000233915.3_ASM23391v4"
"Tannerella forsythia 92A2","Bacteria;FCB group;Bacteroidetes/Chlorobi group","92A2","SAMN02604009","PRJNA319","GCA_000238215.1","Complete",3.40552,47,"chromosome:NC_016610.1/CP003191.1",,1,2706,"2011-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/215/GCA_000238215.1_ASM23821v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/215/GCF_000238215.1_ASM23821v1"
"Clostridium carboxidivorans P7","Bacteria;Terrabacteria group;Firmicutes","P7","SAMN03740584","PRJNA285141","GCA_001038625.1","Complete",5.75278,29.8917,"chromosome:NZ_CP011803.1/CP011803.1; plasmid unnamed:NZ_CP011804.1/CP011804.1",,2,5039,"2015-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/038/625/GCA_001038625.1_ASM103862v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/038/625/GCF_001038625.1_ASM103862v1"
"Lactobacillus herbarum","Bacteria;Terrabacteria group;Firmicutes","TCF032-E4","SAMN03770836","PRJNA286806","GCA_001039045.1","Scaffold",2.89988,43.5,,"LFEE01",55,2636,"2015-06-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/045/GCA_001039045.1_ASM103904v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/045/GCF_001039045.1_ASM103904v1"
"Anaerobacillus macyae","Bacteria;Terrabacteria group;Firmicutes","DSM 16346","SAMN03766539","PRJNA286270","GCA_001039475.1","Scaffold",4.25678,39.8,,"LELK01",15,4147,"2015-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/475/GCA_001039475.1_ASM103947v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/475/GCF_001039475.1_ASM103947v1"
"Desulfovibrio desulfuricans ND132","Bacteria;Proteobacteria;delta/epsilon subdivisions","ND132","SAMN02232015","PRJNA37769","GCA_000189295.2","Complete",3.85858,65.2,"chromosome:NC_016803.1/CP003220.1",,1,3423,"2011-12-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/295/GCA_000189295.2_ASM18929v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/295/GCF_000189295.2_ASM18929v2"
"Megamonas funiformis YIT 11815","Bacteria;Terrabacteria group;Firmicutes","YIT 11815","SAMN02463866","PRJNA46421","GCA_000245775.1","Scaffold",2.56251,31.6,,"ADMB01",13,2398,"2012-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/775/GCA_000245775.1_Mega_funi_YIT_11815_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/775/GCF_000245775.1_Mega_funi_YIT_11815_V1"
"Odoribacter laneus YIT 12061","Bacteria;FCB group;Bacteroidetes/Chlorobi group","YIT 12061","SAMN02463867","PRJNA46423","GCA_000243215.1","Scaffold",3.77301,40.6,,"ADMC01",9,3028,"2012-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/215/GCA_000243215.1_Odor_lane_YIT_12061_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/215/GCF_000243215.1_Odor_lane_YIT_12061_V1"
"Dolosigranulum pigrum ATCC 51524","Bacteria;Terrabacteria group;Firmicutes","ATCC 51524","SAMN02463904","PRJNA52171","GCA_000245815.1","Scaffold",1.86214,39.6,,"AGEF01",2,1648,"2012-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/815/GCA_000245815.1_Dolo_pigr_ATCC_51524_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/815/GCF_000245815.1_Dolo_pigr_ATCC_51524_V1"
"Herbaspirillum seropedicae","Bacteria;Proteobacteria;Betaproteobacteria","Z67","SAMN03779333","PRJNA287245","GCA_001040945.1","Complete",5.50972,63.4,"chromosome:NZ_CP011930.1/CP011930.1",,1,4726,"2015-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/040/945/GCA_001040945.1_ASM104094v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/040/945/GCF_001040945.1_ASM104094v1"
"Metallosphaera yellowstonensis MK1","Archaea;TACK group;Crenarchaeota","MK1","SAMN02261413","PRJNA64481","GCA_000243315.1","Scaffold",2.81745,47.7,,"AHKJ01",21,2680,"2012-01-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/315/GCA_000243315.1_ASM24331v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/315/GCF_000243315.1_ASM24331v1"
"Methanoplanus limicola DSM 2279","Archaea;Euryarchaeota;Stenosarchaea group","DSM 2279","SAMN02261391","PRJNA61291","GCA_000243255.1"," Chromosome",3.20095,42.2,"chromosome:NZ_CM001436.1/CM001436.1","AHKP01",1,2967,"2012-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/255/GCA_000243255.1_ASM24325v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/255/GCF_000243255.1_ASM24325v1"
"Myroides odoratus DSM 2801","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 2801","SAMN02256523","PRJNA61389","GCA_000243275.1"," Chromosome",4.30184,35.8,"chromosome:NZ_CM001437.1/CM001437.1","AHKQ01",1,3728,"2012-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/275/GCA_000243275.1_ASM24327v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/275/GCF_000243275.1_ASM24327v1"
"Gillisia limnaea DSM 15749","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 15749","SAMN02261365","PRJNA50579","GCA_000243235.1","Scaffold",3.96686,37.6,,"AHKR01",2,3392,"2012-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/235/GCA_000243235.1_ASM24323v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/235/GCF_000243235.1_ASM24323v1"
"Desulfosporosinus youngiae DSM 17734","Bacteria;Terrabacteria group;Firmicutes","DSM 17734","SAMN02261386","PRJNA60451","GCA_000244895.1"," Chromosome",5.66098,44.2,"chromosome:NZ_CM001441.1/CM001441.1","AHLV01",1,5114,"2012-01-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/244/895/GCA_000244895.1_ASM24489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/244/895/GCF_000244895.1_ASM24489v1"
"Saccharomonospora marina XMU15","Bacteria;Terrabacteria group;Actinobacteria","XMU15","SAMN02261396","PRJNA61991","GCA_000244955.1"," Chromosome",5.96559,68.9,"chromosome:NZ_CM001439.1/CM001439.1","AHLX01",1,5536,"2012-01-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/244/955/GCA_000244955.1_ASM24495v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/244/955/GCF_000244955.1_ASM24495v1"
"Saccharomonospora cyanea NA-134","Bacteria;Terrabacteria group;Actinobacteria","NA-134","SAMN02256534","PRJNA61997","GCA_000244975.1"," Chromosome",5.4083,69.7,"chromosome:NZ_CM001440.1/CM001440.1","AHLY01",1,4970,"2012-01-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/244/975/GCA_000244975.1_ASM24497v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/244/975/GCF_000244975.1_ASM24497v1"
"Komagataeibacter medellinensis NBRC 3288","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 3288","SAMD00060987","PRJDA64985","GCA_000182745.1","Complete",3.51319,60.569,"chromosome:NC_016027.1/AP012159.1; plasmid pGXY010:NC_016037.1/AP012160.1; plasmid pGXY020:NC_016021.1/AP012161.1; plasmid pGXY030:NC_016028.1/AP012162.1; plasmid pGXY040:NC_016022.1/AP012163.1; plasmid pGXY050:NC_016029.1/AP012164.1; plasmid pGXY060:NC_016900.1/AP012165.1; plasmid pGXY070:NC_016030.1/AP012166.1",,8,3090,"2011-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/745/GCA_000182745.1_ASM18274v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/745/GCF_000182745.2_ASM18274v1"
"Lactobacillus acetotolerans","Bacteria;Terrabacteria group;Firmicutes","NBRC 13120","SAMD00026530","PRJDB3543","GCA_001042405.1","Complete",1.70486,36.7,"chromosome Unknown:NZ_AP014808.1/AP014808.1",,1,1501,"2015-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/405/GCA_001042405.1_ASM104240v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/405/GCF_001042405.1_ASM104240v1"
"Facklamia languida CCUG 37842","Bacteria;Terrabacteria group;Firmicutes","CCUG 37842","SAMN02463907","PRJNA52181","GCA_000245795.1","Scaffold",1.71777,43.9,,"AGEG01",1,1478,"2012-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/795/GCA_000245795.1_Fack_lang_CCUG_37842_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/795/GCF_000245795.1_Fack_lang_CCUG_37842_V1"
"Helcococcus kunzii ATCC 51366","Bacteria;Terrabacteria group;Firmicutes","ATCC 51366","SAMN02596728","PRJNA52183","GCA_000245755.1","Scaffold",2.09646,29.5,,"AGEI01",2,1805,"2012-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/755/GCA_000245755.1_Helc_kunz_ATCC_51366_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/755/GCF_000245755.1_Helc_kunz_ATCC_51366_V1"
"Parascardovia denticolens DSM 10105 = JCM 12538","Bacteria;Terrabacteria group;Actinobacteria","JCM 12538","SAMD00061048","PRJDB64","GCA_001042675.1","Complete",1.89086,58.3,"chromosome Unknown:NZ_AP012333.1/AP012333.1",,1,1508,"2015-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/675/GCA_001042675.1_ASM104267v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/675/GCF_001042675.1_ASM104267v1"
"Scardovia inopinata JCM 12537","Bacteria;Terrabacteria group;Actinobacteria","JCM 12537","SAMD00061049","PRJDB65","GCA_001042695.1","Complete",1.79786,48.6,"chromosome Unknown:NZ_AP012334.1/AP012334.1",,1,1396,"2015-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/695/GCA_001042695.1_ASM104269v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/695/GCF_001042695.1_ASM104269v1"
"Clostridium aceticum","Bacteria;Terrabacteria group;Firmicutes","DSM 1496","SAMN03768360","PRJNA263904","GCA_001042715.1","Complete",4.20704,35.2951,"chromosome:NZ_CP009687.1/CP009687.1; plasmid CACET_5p:NZ_CP009688.1/CP009688.1",,2,3734,"2015-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/715/GCA_001042715.1_ASM104271v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/715/GCF_001042715.1_ASM104271v1"
"Bifidobacterium dentium JCM 1195 = DSM 20436","Bacteria;Terrabacteria group;Actinobacteria","JCM 1195","SAMD00061043","PRJDB59","GCA_001042595.1","Complete",2.63567,58.5,"chromosome Unknown:NZ_AP012326.1/AP012326.1",,1,2140,"2015-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/595/GCA_001042595.1_ASM104259v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/595/GCF_001042595.1_ASM104259v1"
"Bifidobacterium scardovii JCM 12489 = DSM 13734","Bacteria;Terrabacteria group;Actinobacteria","JCM 12489","SAMD00061046","PRJDB62","GCA_001042635.1","Complete",3.15835,64.6,"chromosome Unknown:NZ_AP012331.1/AP012331.1",,1,2397,"2015-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/635/GCA_001042635.1_ASM104263v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/635/GCF_001042635.1_ASM104263v1"
"Xanthomonas oryzae pv. oryzae PXO99A","Bacteria;Proteobacteria;Gammaproteobacteria","PXO99A","SAMN02603061","PRJNA28127","GCA_000019585.2","Complete",5.23855,63.6,"chromosome:NC_010717.2/CP000967.2",,1,4031,"2008-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2"
"Marinobacter psychrophilus","Bacteria;Proteobacteria;Gammaproteobacteria","20041","SAMN03701403","PRJNA284323","GCA_001043175.1","Complete",3.9986,53.8,"chromosome:NZ_CP011494.1/CP011494.1",,1,3503,"2015-06-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/043/175/GCA_001043175.1_ASM104317v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/175/GCF_001043175.1_ASM104317v1"
"Mycolicibacterium chlorophenolicum","Bacteria;Terrabacteria group;Actinobacteria","DSM 43826","SAMN03327461","PRJNA274376","GCA_001044235.1","Scaffold",7.37952,68.4,,"JYNL01",72,6729,"2015-07-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/044/235/GCA_001044235.1_ASM104423v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/044/235/GCF_001044235.1_ASM104423v1"
